City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
620,Port Antonio,JM,18.18,-76.4612,80.51,84,31,4.63,scattered clouds
621,Qinhuangdao,CN,39.9317,119.5883,87.3,56,17,5.21,few clouds
622,Ponta Do Sol,PT,32.6667,-17.1,68.63,75,17,5.35,few clouds
623,Sawtell,AU,-30.3833,153.1,69.19,77,100,6.91,overcast clouds
624,La Cruz,MX,23.9167,-106.9,81.05,78,89,0.31,overcast clouds
625,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
626,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
627,Port Elizabeth,ZA,-33.918,25.5701,58.32,78,0,5.01,clear sky
628,Souillac,MU,-20.5167,57.5167,73.78,60,75,12.66,broken clouds
629,Hermanus,ZA,-34.4187,19.2345,53.89,62,73,10.71,broken clouds
630,Port-Gentil,GA,-0.7193,8.7815,73.36,88,75,6.91,broken clouds
631,Beyneu,KZ,45.3167,55.2,76.66,37,0,7.29,clear sky
632,Punta Arenas,CL,-53.15,-70.9167,28.51,100,0,12.66,clear sky
633,Guarapuava,BR,-25.3953,-51.4581,51.06,86,94,3.13,overcast clouds
634,Port Lincoln,AU,-34.7333,135.8667,56.32,66,100,11.68,overcast clouds
635,Linares,CL,-35.85,-71.6,40.6,91,59,1.39,broken clouds
636,Manuk Mangkaw,PH,4.8,119.85,84.09,69,91,7.47,overcast clouds
637,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
638,Qaanaaq,GL,77.484,-69.3632,38.59,99,100,5.64,overcast clouds
639,Hilo,US,19.7297,-155.09,73.62,81,72,3.0,broken clouds
640,Yellowknife,CA,62.456,-114.3525,64.92,52,75,5.75,broken clouds
641,Jiwani,PK,25.05,61.7417,87.19,76,100,15.39,light rain
642,Sapa,PH,5.1544,120.3241,85.62,64,84,3.94,broken clouds
643,Bluff,NZ,-46.6,168.3333,44.8,79,100,12.19,overcast clouds
644,Kapaa,US,22.0752,-159.319,80.58,87,100,4.0,overcast clouds
645,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
646,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
647,Longyearbyen,SJ,78.2186,15.6401,42.64,61,0,16.11,clear sky
648,East London,ZA,-33.0153,27.9116,54.54,82,0,9.22,clear sky
649,Punta Arenas,CL,-53.15,-70.9167,28.51,100,0,12.66,clear sky
650,Fonte Boa,BR,-2.4959,-66.2662,75.06,86,95,2.04,overcast clouds
651,Xuddur,SO,4.1213,43.8894,77.9,59,78,26.15,broken clouds
652,Vaini,TO,-21.2,-175.2,73.56,73,20,5.75,few clouds
653,Mayo,US,38.8876,-76.5119,76.95,93,100,5.99,overcast clouds
654,Bo Rai,TH,12.5728,102.5371,89.67,66,100,9.69,light rain
655,New Norfolk,AU,-42.7826,147.0587,54.91,78,46,3.0,scattered clouds
656,Cuenca,EC,-2.8833,-78.9833,53.73,94,97,0.0,overcast clouds
657,Qaanaaq,GL,77.484,-69.3632,38.59,99,100,5.64,overcast clouds
658,Lata,PT,40.1629,-8.3327,66.25,52,0,6.91,clear sky
659,Chokurdakh,RU,70.6333,147.9167,64.15,30,99,13.47,overcast clouds
660,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
661,Chicama,PE,-7.8447,-79.1469,59.54,88,10,4.21,clear sky
662,Port Elizabeth,ZA,-33.918,25.5701,58.32,78,0,5.01,clear sky
663,Stromness,GB,58.965,-3.296,51.76,84,28,11.99,scattered clouds
664,Barrow,US,71.2906,-156.7887,43.29,89,100,10.87,overcast clouds
665,Tateyama,JP,34.9833,139.8667,77.09,83,65,4.81,broken clouds
666,Milheiros De Poiares,PT,40.9216,-8.4679,72.93,88,0,0.0,clear sky
667,Lompoc,US,34.6391,-120.4579,62.02,90,100,13.8,overcast clouds
668,Kodiak,US,57.79,-152.4072,51.42,96,100,10.83,light rain
669,Klaksvik,FO,62.2266,-6.589,47.32,82,100,13.04,overcast clouds
670,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
671,Longyearbyen,SJ,78.2186,15.6401,42.64,61,0,16.11,clear sky
672,Mahebourg,MU,-20.4081,57.7,73.69,60,75,12.66,broken clouds
673,Le Port,RE,-20.9373,55.2919,74.61,60,45,2.86,scattered clouds
674,Yellowknife,CA,62.456,-114.3525,64.92,52,75,5.75,broken clouds
675,Nouadhibou,MR,20.931,-17.0347,69.78,78,1,24.16,clear sky
676,Saint-Philippe,RE,-21.3585,55.7679,74.21,68,56,8.34,broken clouds
677,Jamestown,US,42.097,-79.2353,62.02,84,70,1.01,broken clouds
678,Dikson,RU,73.5069,80.5464,33.28,86,13,1.41,few clouds
679,Hermanus,ZA,-34.4187,19.2345,53.89,62,73,10.71,broken clouds
680,Jalu,LY,29.0331,21.5482,82.69,40,0,7.14,clear sky
681,Beringovskiy,RU,63.05,179.3167,49.8,77,90,4.61,overcast clouds
682,Codrington,AU,-38.2667,141.9667,53.28,73,71,17.6,broken clouds
683,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
684,Pangnirtung,CA,66.1451,-65.7125,43.23,82,93,1.36,overcast clouds
685,Thompson,CA,55.7435,-97.8558,55.56,71,20,4.61,few clouds
686,Ponta Do Sol,PT,32.6667,-17.1,68.63,75,17,5.35,few clouds
687,Hermanus,ZA,-34.4187,19.2345,53.89,62,73,10.71,broken clouds
688,Gatbo,PH,13.5833,123.3833,84.47,77,99,1.54,moderate rain
689,Katsuura,JP,35.1333,140.3,75.76,83,58,16.91,broken clouds
690,Kapaa,US,22.0752,-159.319,80.58,87,100,4.0,overcast clouds
691,Qaanaaq,GL,77.484,-69.3632,38.59,99,100,5.64,overcast clouds
692,Kapaa,US,22.0752,-159.319,80.58,87,100,4.0,overcast clouds
693,Ponta Do Sol,PT,32.6667,-17.1,68.63,75,17,5.35,few clouds
694,Seoul,KR,37.5683,126.9778,90.79,71,100,10.36,overcast clouds
695,Ranong,TH,9.9658,98.6348,87.73,69,92,11.16,overcast clouds
696,Klaksvik,FO,62.2266,-6.589,47.32,82,100,13.04,overcast clouds
697,Butaritari,KI,3.0707,172.7902,82.49,75,83,16.42,broken clouds
698,Faanui,PF,-16.4833,-151.75,79.27,67,7,9.82,clear sky
