City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Bousso,TD,2022-07-05 17:12:44,10.4795,16.7117,82.8,61,69,13.6
102,Aligudarz,IR,2022-07-05 17:12:44,33.4006,49.6949,73.44,31,0,10.09
103,Okakarara,NA,2022-07-05 17:12:45,-20.5833,17.4333,64.29,28,0,6.98
104,Kruisfontein,ZA,2022-07-05 17:12:45,-34.0033,24.7314,57.88,93,100,7.07
105,Yakovlevka,RU,2022-07-05 17:12:46,44.425,133.4772,68.0,98,45,2.68
106,Ponta Do Sol,PT,2022-07-05 17:12:46,32.6667,-17.1,73.71,67,30,2.91
107,Naryan-Mar,RU,2022-07-05 17:12:46,67.6713,53.087,56.46,71,57,8.08
108,Kampot,KH,2022-07-05 17:12:47,10.6167,104.1833,82.45,86,76,5.93
109,Clyde River,CA,2022-07-05 17:12:47,70.4692,-68.5914,39.25,76,99,3.69
110,Tuktoyaktuk,CA,2022-07-05 17:12:48,69.4541,-133.0374,46.53,84,100,7.11
111,Nur,PL,2022-07-05 17:12:48,52.6683,22.3221,63.9,94,100,4.45
112,Oistins,BB,2022-07-05 17:12:49,13.0667,-59.5333,86.09,70,20,16.11
113,Prabumulih,ID,2022-07-05 17:12:49,-3.45,104.25,72.81,99,78,2.84
114,Victoria,HK,2022-07-05 17:11:35,22.2855,114.1577,84.33,90,100,7.0
115,Ribeira Grande,PT,2022-07-05 17:12:50,38.5167,-28.7,72.0,64,40,11.5
116,Grindavik,IS,2022-07-05 17:12:50,63.8424,-22.4338,54.07,87,100,5.75
117,Provideniya,RU,2022-07-05 17:12:51,64.3833,-173.3,46.44,97,100,5.1
118,Mogadishu,SO,2022-07-05 17:12:51,2.0371,45.3438,76.64,81,22,19.37
119,Guiren,CN,2022-07-05 17:12:52,33.6697,118.1889,77.16,97,100,11.92
120,Broken Hill,AU,2022-07-05 17:12:52,-31.95,141.4333,44.65,66,0,9.42
121,Mar Del Plata,AR,2022-07-05 17:08:14,-38.0023,-57.5575,54.91,32,0,7.38
122,Khatanga,RU,2022-07-05 17:12:53,71.9667,102.5,55.06,50,100,2.86
123,Diplo,PK,2022-07-05 17:09:01,24.4667,69.584,89.69,68,99,14.32
124,Kromy,RU,2022-07-05 17:12:53,52.6876,35.7667,66.56,89,92,5.53
125,Pangnirtung,CA,2022-07-05 17:11:22,66.1451,-65.7125,49.96,55,90,6.29
126,Idar-Oberstein,DE,2022-07-05 17:12:54,49.7,7.3,79.3,39,45,8.21
127,Domoni,KM,2022-07-05 17:12:54,-12.2569,44.5319,74.66,81,54,6.35
128,Tiksi,RU,2022-07-05 17:12:54,71.6872,128.8694,41.22,71,74,4.63
129,Westport,US,2022-07-05 17:12:04,41.1415,-73.3579,86.27,51,0,9.22
130,Payo,ID,2022-07-05 17:12:55,-3.7508,103.6372,72.32,98,79,2.39
131,San Rafael,AR,2022-07-05 17:11:33,-34.6177,-68.3301,59.56,16,0,4.61
132,Asau,RO,2022-07-05 17:12:56,46.4333,26.4,87.28,48,51,0.4
133,Juneau,US,2022-07-05 17:12:22,58.3019,-134.4197,69.84,80,61,3.85
134,Sorland,NO,2022-07-05 17:12:56,67.667,12.6934,53.46,85,100,25.03
135,Dikson,RU,2022-07-05 17:12:57,73.5069,80.5464,36.3,94,100,7.29
136,Gamba,GA,2022-07-05 17:13:57,-2.65,10.0,72.07,79,9,10.47
137,Saint-Pierre,RE,2022-07-05 17:13:58,-21.3393,55.4781,68.92,78,75,6.91
138,La Ronge,CA,2022-07-05 17:13:58,55.1001,-105.2842,58.71,54,48,6.89
139,Tabasalu,EE,2022-07-05 17:13:58,59.4303,24.5331,67.1,61,40,18.41
140,Kupang,ID,2022-07-05 17:13:59,-10.1667,123.5833,71.22,70,50,10.8
141,Moindou,NC,2022-07-05 17:13:59,-21.6924,165.677,72.45,89,100,6.06
142,Kahului,US,2022-07-05 17:14:00,20.8947,-156.47,77.85,75,40,17.27
